asset_name;tahun_bulan;open;high;low;close;volume
Dogecoin;2025-05;1.2;1.8;0.15;1.34;59275634748.0
Dogecoin;2025-06;1.34;1.42;0.0001;1.15;31505639740.0
Dogecoin;2025-07;1.15;1.99;0.11;1.46;81886700367.0
Dogecoin;2025-08;1.46;1.77;0.01;1.48;81512739273.0
Dogecoin;2025-09;1.48;2.12;0.14;1.62;101240358825.0
Dogecoin;2025-10;1.62;1.86;0.12;1.29;99130813314.0
Dogecoin;2025-11;1.29;1.31;0.0001;1.02;61518595471.0
Dogecoin;2025-12;1.02;1.06;0.01;0.81;34104020181.0
Dogecoin;2026-01;0.81;1.08;0.0001;0.72;44899911736.0
Dogecoin;2026-02;0.72;0.81;0.095;0.65;37525346554.0
Dogecoin;2026-03;0.65;0.72;0.093;0.64;38359580990.0
Dogecoin;2026-04;0.64;0.69;0.01;0.68;34470602765.0
Ethereum;2021-01;737.7084;1467.7849;118.7311;1314.9862;1181644236261.0
Ethereum;2021-02;1314.8552;2036.2865;65.5;141.6049;1007718046121.0
Ethereum;2021-03;1417.1511;1947.8378;76.88;1918.3621;730832219123.0
Ethereum;2021-04;1919.1572;2797.9724;231.8675;277.3207;995334204881.0
Ethereum;2021-05;2772.8384;4362.3506;141.1;2714.9453;1510329786014.0
Ethereum;2021-06;2707.5605;2891.2549;188.7432;2274.5476;813523116983.0
Ethereum;2021-07;2274.3975;2551.1611;1722.0508;105.68;591738936958.0
Ethereum;2021-08;2530.4629;3466.9922;290.0926;3433.7327;703006251884.0
Ethereum;2021-09;3430.7625;4022.4692;139.86;300.1679;653984909752.0
Ethereum;2021-10;3001.1294;4455.7354;380.5886;4288.0742;574798465423.0
Ethereum;2021-11;4288.2173;4891.7046;410.7126;463.1479;573546775953.0
Ethereum;2021-12;4623.6797;4780.7324;157.06;3682.6328;621042023890.0
Ethereum;2022-01;3683.0471;3876.7852;249.6813;2688.2788;491108556504.0
Ethereum;2022-02;2687.8989;3271.3162;257.9208;2919.2012;416163449938.0
Ethereum;2022-03;2919.7759;3470.1863;255.9127;3281.6428;436852450559.0
Ethereum;2022-04;3282.5762;3573.9602;342.2001;2730.1868;493826441956.0
Ethereum;2022-05;2729.9941;2956.6868;172.4636;194.2328;636271175493.0
Ethereum;2022-06;1942.0507;1965.1666;89.6109;1067.2988;562032668964.0
Ethereum;2022-07;1068.3168;1774.5764;119.5606;1681.5173;534457515643.0
Ethereum;2022-08;1681.4456;2022.7915;145.4283;1553.6849;554162785316.0
Ethereum;2022-09;1553.7563;1784.4978;171.0297;1327.9786;496652295826.0
Ethereum;2022-10;1328.1937;1652.3822;56.24;1572.7145;382071643030.0
Ethereum;2022-11;1572.6454;1661.3347;120.8521;1295.6886;421797905717.0
Ethereum;2022-12;1295.7695;1346.1744;122.4448;1196.7712;161130639970.0
Ethereum;2023-01;1196.7136;1674.1793;63.11;1586.5354;224952954314.0
Ethereum;2023-02;1586.4882;1732.8011;150.1462;1605.8951;223749343195.0
Ethereum;2023-03;1606.0404;1853.8881;67.59;1822.0221;302468060876.0
Ethereum;2023-04;1821.7043;2137.4451;207.6832;1876.9243;277179762298.0
Ethereum;2023-05;1868.8911;2017.5594;178.6672;1874.1305;202326166173.0
Ethereum;2023-06;1873.9147;1945.2743;183.0165;193.3189;206194132396.0
Ethereum;2023-07;1933.3239;2011.8853;185.1728;1856.1624;177596680398.0
Ethereum;2023-08;1856.1902;1877.5115;159.6384;1645.6392;168678383229.0
Ethereum;2023-09;1645.5813;1692.5311;158.8329;1671.1619;134781867370.0
Ethereum;2023-10;1671.1615;1865.0952;155.3007;181.6459;192662877051.0
Ethereum;2023-11;1815.8721;2134.6914;187.1973;2052.5562;315824566888.0
Ethereum;2023-12;2052.0967;2445.0176;204.6557;2281.4712;351655489427.0
Ethereum;2024-01;2282.8704;2710.4219;221.9782;2282.5444;365409742553.0
Ethereum;2024-02;2282.1753;3518.9692;247.3812;3341.9197;435402067623.0
Ethereum;2024-03;3341.9658;4092.2842;3059.6548;3647.8564;670105166249.0
Ethereum;2024-04;3647.8196;3727.6165;129.83;3012.2869;480678795896.0
Ethereum;2024-05;3011.0156;3973.5564;2815.9233;3760.0266;494712697510.0
Ethereum;2024-06;3759.8843;3887.4858;145.24;3432.8892;401807474721.0
Ethereum;2024-07;3432.6074;3560.0754;305.4522;3231.2957;496826192549.0
Ethereum;2024-08;3231.2488;3241.7773;240.1175;2513.3938;535770895767.0
Ethereum;2024-09;2513.4243;2728.0676;226.3793;2603.0627;438144022015.0
Ethereum;2024-10;2603.2642;2765.5496;244.3553;2515.7993;500885085548.0
Ethereum;2024-11;2515.8704;3739.9348;242.1813;3705.7053;1029930619790.0
Ethereum;2024-12;3706.6199;4106.9556;382.6762;3332.5317;1118659048135.0
Ethereum;2025-01;3332.4065;3743.9417;312.7623;3298.2651;816020167432.0
Ethereum;2025-02;3298.8223;3329.6553;270.1105;2237.9053;759605849746.0
Ethereum;2025-03;2237.9421;2548.8118;183.2019;75.99;524493831617.0
Ethereum;2025-04;1823.5624;1951.1803;150.5002;1793.7754;512390406805.0
Ethereum;2025-05;179.4041;2784.7524;235.3427;2529.0874;736439227936.0
